Round,Account,Stakeholder,Type
25191296,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25191491,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25191516,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25191807,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25192570,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25192867,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25193216,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25193252,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25193670,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25193841,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25193935,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25193965,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25194064,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25194370,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25194957,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25195491,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25195595,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25195645,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25195649,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25195748,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25195782,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25196320,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25196825,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25196982,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25197161,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25197256,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25197496,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25197680,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25197958,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25198054,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25198703,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25198718,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25199127,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25199259,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25199477,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25199622,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25199877,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25199891,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25199983,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25200155,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25200187,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25200416,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25201385,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25201661,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25202102,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25202123,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25202318,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25202713,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25202737,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25288702,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25288707,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25289335,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25289641,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25289702,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
